ID	StromalScore	ImmuneScore	ESTIMATEScore
TCGA-D7-A74A-01A-11R-A32D-31	-1190.60085480431	605.170345081006	-585.430509723305
TCGA-CG-4441-01A-01R-1802-13	514.719889469941	1071.61645559392	1586.33634506386
TCGA-BR-8591-01A-11R-2402-13	101.06568789108	1136.64241668163	1237.70810457271
TCGA-VQ-A91E-01A-31R-A414-31	-1257.85053754728	981.824224156087	-276.02631339119
TCGA-D7-A6F0-01A-11R-A31P-31	-530.535354372662	869.792277797085	339.256923424423
TCGA-IN-A6RI-01A-11R-A32D-31	-1341.27502551052	-49.1456422752712	-1390.42066778579
TCGA-B7-A5TI-01A-11R-A31P-31	412.682203158315	694.533040546961	1107.21524370528
TCGA-BR-A4J6-01A-11R-A251-31	-43.2381805355219	419.081357754089	375.843177218568
TCGA-FP-7829-01A-11R-2055-13	130.4847038564	403.434660042935	533.919363899335
TCGA-VQ-A8E7-01B-11R-A414-31	-431.471087694533	27.1260873832737	-404.345000311259
TCGA-VQ-AA6K-01A-11R-A414-31	-122.161458765838	784.131223434528	661.96976466869
TCGA-RD-A8N0-01A-12R-A36D-31	915.570659536619	2548.55384191783	3464.12450145445
TCGA-IN-A6RL-01A-11R-A32D-31	-619.338237401841	553.028950624553	-66.3092867772881
TCGA-CD-8535-01A-11R-2343-13	-734.866671381563	-441.922625577587	-1176.78929695915
TCGA-VQ-A91D-01A-11R-A414-31	-61.0094247499158	929.740129698341	868.730704948425
TCGA-CD-8526-01A-11R-2343-13	86.6001390613251	811.94404747547	898.544186536795
TCGA-BR-8361-01A-11R-2343-13	-387.567079198456	1149.97706359314	762.409984394687
TCGA-CD-5804-01A-12R-2055-13	714.429414259451	1437.28407914247	2151.71349340192
TCGA-BR-A4J4-01A-12R-A251-31	132.87035766433	1072.57856555778	1205.44892322211
TCGA-MX-A5UJ-01A-11R-A31P-31	353.007109728178	707.453405086413	1060.46051481459
TCGA-CG-4301-01A-01R-1157-13	861.870020060677	1308.9380638372	2170.80808389788
TCGA-BR-6852-01A-11R-1884-13	729.955877494781	2356.49875554563	3086.45463304041
TCGA-IN-A7NR-01A-11R-A354-31	-416.862727621447	1067.50703776226	650.644310140814
TCGA-VQ-A8PD-01A-11R-A414-31	529.290350502639	2259.42029408568	2788.71064458832
TCGA-BR-6563-01A-13R-2055-13	1529.90540258992	2430.83787545081	3960.74327804073
TCGA-F1-6177-01A-11R-1802-13	-781.219364080746	357.237631934213	-423.981732146533
TCGA-VQ-A925-01A-11R-A414-31	-898.761374198996	147.946587697803	-750.814786501194
TCGA-VQ-A94P-01A-13R-A414-31	1272.21696805188	1335.24113252955	2607.45810058143
TCGA-MX-A666-01A-11R-A31P-31	-880.334082041856	527.957331200281	-352.376750841575
TCGA-BR-6709-01A-11R-1884-13	1079.64097014712	2540.64600463147	3620.2869747786
TCGA-BR-8369-01A-11R-2343-13	67.546874431355	161.996906128961	229.543780560316
TCGA-HU-A4G9-01A-11R-A24K-31	-1708.52543867177	-373.481717147371	-2082.00715581914
TCGA-BR-6565-01A-11R-1802-13	533.904666195031	1495.56385700825	2029.46852320328
TCGA-CG-4460-01A-01R-1157-13	-366.688875208775	535.045851858585	168.35697664981
TCGA-IN-8462-01A-11R-2343-13	104.026283630686	721.517316274418	825.543599905104
TCGA-RD-A7BS-01A-11R-A32D-31	262.069078455001	1461.26038528063	1723.32946373563
TCGA-BR-8486-01A-31R-2402-13	345.109825444364	1277.48921719934	1622.5990426437
TCGA-VQ-A8PK-01A-12R-A414-31	-375.376942694543	453.338319258622	77.9613765640793
TCGA-D7-A6EX-01A-11R-A31P-31	-547.223113754571	-219.70420752904	-766.92732128361
TCGA-HU-A4H4-01A-21R-A251-31	-186.616875308268	1696.14379185539	1509.52691654712
TCGA-VQ-A8DT-01A-11R-A36D-31	-1179.54184968306	226.927641954771	-952.614207728289
TCGA-HU-A4GF-01A-11R-A24K-31	-706.343191475667	722.859260859286	16.5160693836191
TCGA-BR-8367-01A-11R-2343-13	806.300432436001	667.753253441032	1474.05368587703
TCGA-IN-7808-01A-11R-2203-13	-16.1383729818837	2880.65957662352	2864.52120364163
TCGA-BR-8297-01A-12R-2343-13	607.17102192013	685.985374849341	1293.15639676947
TCGA-B7-5818-01A-11R-1602-13	-72.1447654552677	1741.95347534329	1669.80870988802
TCGA-BR-8683-01A-11R-2402-13	579.612049153985	773.618906299043	1353.23095545303
TCGA-BR-8366-01A-11R-2343-13	1150.87253198911	2564.24735454876	3715.11988653786
TCGA-BR-8291-01A-11R-2343-13	1675.36075161616	1842.03683467039	3517.39758628655
TCGA-VQ-A91X-01A-12R-A414-31	-1847.83805682463	-548.699052398096	-2396.53710922273
TCGA-BR-4367-01A-01R-1157-13	1164.18096360672	1881.05627919301	3045.23724279973
TCGA-D7-6522-01A-11R-1802-13	1885.03270687828	2984.69585414776	4869.72856102604
TCGA-BR-8682-01A-11R-2402-13	870.891868148622	1128.25405030097	1999.1459184496
TCGA-CG-4436-01A-01R-1157-13	-629.023925666375	1177.81529078824	548.791365121869
TCGA-BR-7901-01A-11R-2203-13	930.954130968212	1275.00658210249	2205.9607130707
TCGA-BR-6707-01A-11R-1884-13	137.134521411334	1865.9000289178	2003.03455032913
TCGA-HU-A4H5-01A-21R-A251-31	-852.877277914998	544.245905291727	-308.631372623271
TCGA-BR-8679-01A-11R-2402-13	304.783334950889	133.277064086367	438.060399037256
TCGA-FP-A4BF-01A-12R-A36D-31	1229.28452454379	2511.8284562398	3741.11298078359
