Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	PD-L1
TCGA-BR-A4J7-01A-31R-A251-31	0.013550966	0	0.028471799	0.433940586	0	0.087450844	0.037521281	0.006638327	0.072821993	0.002848505	0	0.043799963	0.010699856	0.01367151	0.106475156	0.128130734	0.006357011	0	0.007621467	0	0	0	1.783954525
TCGA-BR-8081-01A-11R-2343-13	0.058427755	0	0.036002669	0.138899283	0	0.156344208	0.04904132	0.05080285	0.041340789	0	0	0.02009001	0.008408326	0.109034506	0.137211387	0.121079541	0.026085488	0	0	0.047231869	0	0	5.338367488
TCGA-HU-A4GJ-01A-11R-A251-31	0.097044831	0.216142471	0.098137518	0.120966349	0	0.152555136	0.023549233	0.048354426	0.08822516	0.026616786	0	0	0	0.05328112	0.008273027	0.029073295	0	0.022053626	0	0.015727022	0	0	1.403038269
TCGA-D7-A6EZ-01A-11R-A31P-31	0.036366405	0	0.021294732	0.171342248	0	0.015214024	0.106378676	0.011751211	0.032010421	0	0.030531411	0.017824246	0	0.202752465	0.115741236	0.151228557	0	0.026541376	0	0.058646155	0	0.002376835	5.213599857
TCGA-D7-6528-01A-11R-1802-13	0.081098058	0	0.023796594	0.00987043	0	0.140141194	0	0.016226514	0.058374199	0	0.012188257	0.024069823	0	0.293272787	0.069588813	0.051561312	0	0	0	0.21981202	0	0	3.010769231
TCGA-HU-A4G2-01A-11R-A251-31	0.084740489	0	7.41E-05	0.230967501	0	0.110802098	0.219221072	0	0.021182857	0	0	0.01020796	0	0.004581714	0.076726822	0.160161258	0.062867359	0.011344365	0.002558938	0	0	0.00456348	1.002256214
TCGA-VQ-A924-01A-11R-A414-31	0.015370118	0	0.00339612	0.155043478	0	0.160615769	0.132428226	0.042572903	0.02673061	0	0.01841344	0	0	0.148903888	0.08907376	0.165762704	0	0.024349451	0.015081715	0	0	0.002257818	4.529878081
TCGA-CG-4443-01A-01R-1157-13	0.092336953	0	0.011096119	0	0	0.176643524	0.005990156	0.000319169	0.060323429	0	0.063244996	0	0.043145457	0.13052378	0	0.356996083	0	0	0	0.059380335	0	0	0.138556381
TCGA-BR-7722-01A-31R-2203-13	0.024136163	0	0.032516512	0.076160053	0	0.262881964	0	0	0.089207739	0	0	0.061057917	0.005906992	0.061560958	0.025867114	0.101132586	0.079597652	0.002549927	0.177424424	0	0	0	0.430697393
TCGA-BR-A4J9-01A-12R-A251-31	0.091680704	0.094722595	0.127194637	0.058763827	0	0.249915015	0	0.016943845	0.081844293	0.021946434	0	0.028521871	0	0.035214713	0.056060032	0.093508689	0	0.01546625	0.028217094	0	0	0	0.401964508
TCGA-VQ-AA64-01A-11R-A414-31	0.117336911	0	0.050672464	0.097884764	0	0.218894415	0	0.03135197	0.09565769	0	0	0.047657602	0.002644584	0.097338235	0.121097792	0.073616954	0	0.008139308	0.037493295	0	0	0.000214014	0.330133016
TCGA-VQ-A922-01A-11R-A414-31	0.105647169	0	0.011391992	0.010682778	0	0.204650946	0	0.062010606	0.046286841	0	0.054478756	0	0	0.228047163	0.120109379	0.094423824	0	0	0	0.062270545	0	0	0.617965456
TCGA-D7-6521-01A-11R-1802-13	0.036094022	0.030386135	0.050656381	0.150444908	0	0.108540156	0.008528148	0.016214131	0.118712027	0	0.005341231	0	0.008284391	0.174388825	0.067343048	0.176042066	0.031159047	0	0.010054092	0.000826623	0.001237846	0.005746924	0.802854361
TCGA-HU-A4GT-01A-21R-A251-31	0.047128604	0	0.047284155	0.070948256	0	0.174788063	0.082146531	0.048885319	0.098922499	0	0.000609041	0	0	0.203552342	0.079715636	0.113655244	0.008925826	0	0.008422414	0	0	0.01501607	1.223566397
TCGA-BR-7723-01A-11R-2055-13	0.041257574	0	0.100711543	0.134099014	0	0.118585668	0.039877681	0.043750971	0.069033708	0	0	0.009607069	0	0.263163246	0.062291317	0.105204353	0	0	0.012417857	0	0	0	1.145115472
TCGA-R5-A805-01A-11R-A36D-31	0.00574589	0	0.007795248	0.007126981	0	0.192014197	0	0	0.055670492	0	0.009056884	0	0.021311633	0.157474846	0.019855202	0.111227791	0	0.060956362	0	0.127758179	0	0.224006296	2.273647928
TCGA-CG-4305-01A-01R-1157-13	0.075101565	0	0	0.092119207	0	0.12439037	0.168392545	0.004772409	0.01226219	0.076266136	0.003353334	0	0.000957022	0.025779025	0.12009023	0.23757111	0.009091783	0	0.043313306	0	0	0.006539768	2.695162693
TCGA-BR-6453-01A-11R-1802-13	0.146307589	0.129033289	0.049202107	0.14346434	0	0.056770079	0.019249365	0.01663297	0.123038876	0	0	0.03095362	0	0.081744985	0.005365001	0.094167721	0.031828163	0.028665544	0.043576353	0	0	0	0.677559897
TCGA-CD-5813-01A-11R-1602-13	0.087737669	0	0.074099423	0.201956478	0	0.082140438	0.010485234	0.023541449	0.080980385	0.010334057	0	0.05360704	0.030490003	0.035243958	0.085648877	0.134779752	0.062428187	0	0.02652705	0	0	0	0.976323771
TCGA-CD-8534-01A-11R-2343-13	0.076094222	0	0.041626103	0.08840118	0	0.149390959	0	0.006756024	0.100438991	0.007796823	0	0.025973622	0	0.095402904	0.10777088	0.204666519	0.01397689	0	0.081612708	0	0	9.22E-05	0.724484418
TCGA-VQ-AA6F-01A-31R-A414-31	0.077380956	0.071484662	0.164828754	0.089678788	0	0.147762803	0	0.027468094	0.077579415	0	0	0.047257735	0	0.063152279	0.124179378	0.028998051	0	0.003959081	0.076270004	0	0	0	0.924426699
TCGA-BR-8289-01A-11R-2343-13	0.04767362	0	0.047499081	0.044275858	0	0.190156786	0	0	0.040575278	0.015796697	0	0	0	0.305074484	0.064559344	0.159958162	0	0	0.08443069	0	0	0	0.504247749
TCGA-ZA-A8F6-01A-23R-A36D-31	0.028075934	0	0.002576184	0.003202184	0	0.058673677	0	0.010290274	0.041794538	0.007743898	0.012088303	0	0	0.593599381	0.004435085	0.152230267	0.001265424	0	0.084024852	0	0	0	0.909155068
TCGA-HU-A4GC-01A-12R-A251-31	0.099606735	0	0.082176351	0.160638122	0	0.171502688	0.046717362	0.00104572	0.080791779	0	0.015408964	0.00146683	0.004729646	0.005939075	0.103349448	0.127706757	0.052762946	0	0.044839476	0	0	0.0013181	0.541981934
TCGA-VQ-A928-01A-11R-A414-31	0.042372444	0	0.032300583	0.019490142	0	0.1439592	0	0.030585681	0.045692043	0	0.013076102	0	0	0.370475776	0.016913126	0.036254639	0	0.027531637	0	0.211943132	0.0015962	0.007809294	0.598802976
TCGA-CG-4304-01A-01R-1157-13	0.047951609	0	0.151684772	0.009393802	0	0.193720483	0.053376529	0.002469281	0	0.001990939	0.044228162	0	0	0.11674476	0.059765757	0.151444285	0.007925186	0.00461009	0	0.046026238	0	0.108668108	2.252819226
TCGA-HU-A4GP-01A-11R-A251-31	0.12156497	0	0	0.068216296	0	0.312748502	0.011327005	0.009508432	0.052756436	0	0	0.032460842	0.027697091	0.091943601	0.046059422	0.069406739	0.098970692	0	0.057339972	0	0	0	0.513092837
TCGA-3M-AB47-01A-22R-A414-31	0.057106097	0.008024873	0.146442424	0.068273869	0	0.407632236	0.00904868	0	0.058450828	0	0.015218653	0	0.001670458	0.069803254	0.019567303	0.107970628	0.009980201	0.008438912	0	0.012371585	0	0	1.070958946
TCGA-KB-A93J-01A-11R-A39E-31	0.039666564	0	0.041804627	0.070899349	0	0.106747166	0.016603776	0.025656797	0.089251756	0	0	0.031669984	0	0.166941432	0.127457255	0.216868355	0.029004243	0	0.037000221	0	0	0.000428474	2.843744265
TCGA-IN-A6RN-01A-12R-A33Y-31	0.055113197	0	0.098257918	0.03861814	0	0.311861721	0	0.012953298	0.057572223	0	0	0.060455582	0	0.095153388	0.064773624	0.098920247	0	0	0	0.106320661	0	0	1.310394338
TCGA-BR-7715-01A-11R-2055-13	0.052984433	0	0	0.047005337	0	0.176261061	0.014346352	0.034331333	0.022726354	0	0.006110268	0.000864399	0	0.46727616	0.059503391	0.098888508	0	0	0.019702405	0	0	0	0.632841171
TCGA-HF-7134-01A-11R-2055-13	0.016048753	0	0.189777667	0.0471544	0	0.191651012	0.006927374	0	0.054864104	0	0.048170577	0	0	0.200147701	0.030296022	0.116517687	0	0.024131231	0	0.038286313	0.002218699	0.033808459	1.088706691
TCGA-BR-8678-01A-11R-2402-13	0.016320756	0	0	0.142900249	0	0	0.045535308	0.05751563	0.004403402	0	0.066034079	0	0	0.385977409	0.186265622	0.064723521	0	0	0	0	0.030324025	0	4.11691827
TCGA-D7-A6EY-01A-21R-A31P-31	0.118395746	0.044751541	0	0.123950921	0	0.094134654	0.087151463	0.017812112	0.13753943	0	0	0.020067744	0	0.146969453	0.087051984	0.061540803	0.019302125	0	0.029490231	0	0	0.011841793	4.733130166
TCGA-IP-7968-01A-11R-2203-13	0.098211378	0	0.004617868	0.344253237	0	0.065989298	0.071945619	0.067841989	0.052678532	0	0.013303776	0.000505273	0.011779035	0.071132346	0.076715872	0.075732504	0.018989013	0.005906516	0.020388642	0	0	9.10E-06	1.811309063
TCGA-CG-4440-01A-01R-1157-13	0.002187956	0.008680356	0	0.011107791	0	0.212370947	0	0	0.004353719	0	0.04031678	0.068217255	0	0.090546455	0.101107508	0.187675628	0.010790384	0.00646615	0.089395191	0	0.030775617	0.13600826	0.79205809
TCGA-F1-6875-01A-11R-2055-13	0.019134554	0	0	0.056325181	0	0.024586888	0	0.060606051	0.139321135	0	0.089263037	0	0	0.443713226	0	0.036668615	0	0	0	0.124001294	0.00638002	0	1.598118639
TCGA-HU-8244-01A-11R-2343-13	0.08613123	0	0	0.077856532	0	0.276774387	0.062046266	0	0.106526441	0.001135477	0	0.00639878	0	0.130042931	0.033240609	0.186145573	0.004388091	0	0	0.017901477	0	0.011412204	0.318289692
TCGA-VQ-A91A-01A-11R-A414-31	0.007554269	0	0.019823572	0.005859185	0	0.177029161	0	0	0	0	0.042280137	0	0.007987753	0.30212448	0	0.143487133	0	0.098581754	0	0.154561287	0.005046706	0.035664562	1.948475743
TCGA-BR-8364-01A-11R-2343-13	0.051914448	0	0	0.122137113	0	0.21730691	0	0.000764789	0.070025555	0	0	0.03150458	0.006896396	0.057481753	0.044106513	0.222178982	0.070588467	0.003342694	0.101751799	0	0	0	0.592362269
TCGA-VQ-A8PE-01A-11R-A414-31	0.091141285	0	0.047872671	0.110543513	0	0.175188611	0.062842063	0.049366805	0.086073698	0	0.018089594	0	0	0.166680929	0.039663497	0.075446601	0	0.030080176	0	0.045002409	0	0.002008148	1.700836921
TCGA-FP-A8CX-01A-11R-A36D-31	0.006681441	0	0.187159087	0.08970973	0	0.17267627	0	0.010586082	0.110720133	0	0	0.038783121	0	0.170885254	0.055891524	0.10223395	0.013263523	0	0.035920809	0	0	0.005489078	1.106063712
TCGA-BR-4267-01A-01R-1131-13	0.033853592	0	0.042247956	0	0	0.281268867	0	0	0.022997457	0	0.034349284	0	0	0.13830853	0.035666322	0.161201392	0.012146185	0.017983543	0	0.127478882	0	0.092497989	2.280035916
TCGA-CG-5734-01A-11R-1602-13	0.008916686	0	0.151110576	0.080179631	0	0.116238617	0.04979795	0.027088908	0.062705648	0	0.041363385	0	0	0.220893239	0.059126039	0.092975062	0.024686886	0	0	0.043323023	0.021594349	0	2.111004662
TCGA-VQ-AA6A-01A-11R-A414-31	0.016847445	0	0.061441254	0.061190077	0	0.284667119	0	0.022105082	0.097551479	0	0	0.084671791	0	0.163663052	0.051174825	0.076333143	0.043797573	0	0.036557161	0	0	0	0.242749801
TCGA-BR-4187-01A-01R-1131-13	0.036779077	0	0.002695176	0.064093152	0	0.162118485	0.023269442	0	0.023239441	0.067111659	0	0	0.009148999	0	0.018990221	0.271423907	0.003954985	0.009296804	0.203844056	0	0.049284614	0.054749984	0.648115763
TCGA-D7-A4YU-01A-21R-A251-31	0.032287315	0	0.125247105	0.060730332	0	0.185444417	0.071758323	0.013181381	0.056939009	0.002493019	0.014900982	0	0	0.08930027	0.160321598	0.128120041	0.003267082	0.007612659	0.046323048	0	0	0.00207342	3.589341498
TCGA-VQ-A8PU-01A-12R-A414-31	0.028981171	0	0.009635085	0.033126355	0	0.449100255	0	0	0.058811496	0	0.007992986	0.045493809	0	0.093038574	0.01969432	0.10933691	0.035942465	0.010911845	0.03968534	0	0	0.058249388	0.155487552
TCGA-BR-6457-01A-21R-1802-13	0.023182508	0.048882112	0.0855705	0.158935562	0	0.161609346	0.026217531	0.001463108	0.090462866	0	0	0.045032894	0.01503332	0.031046866	0.08594228	0.067064501	0.053269969	0	0.106286636	0	0	0	0.475194649
TCGA-BR-8059-01A-11R-2343-13	0.028769025	0	0.159207706	0.076473791	0	0.14244154	0.068881393	0.023411562	0.044470443	0	0.023440878	0.00792909	0	0.181197665	0.071986063	0.117581095	0.008260186	0	0	0.036779594	0.005457876	0.003712092	0.506639348
TCGA-KB-A93G-01A-11R-A39E-31	0.025755172	0	0	0	0	0.200491701	0	0	0	0	0.050494611	0	0	0.278339564	0.009789793	0.059025785	0	0.032901676	0	0.241585893	0.01654465	0.085071156	3.270886342
TCGA-MX-A5UG-01A-21R-A31P-31	0.076681688	0.135793363	0.022707253	0.089816355	0	0.292953375	0.046790254	0	0.061456445	0	0.003300655	0	0.011887477	0.068395849	0.043037819	0.048064595	0.000563324	0	0.081617193	0	0	0.016934354	1.843470492
TCGA-BR-4363-01A-01R-1157-13	0.014362925	0	0.095465761	0	0	0.245327841	0.063344394	0.038889199	0.015083429	0.06245678	0	0	0	0.119365075	0.11719353	0.152084722	0.021250941	0	0.030532055	0	0.018556864	0.006086485	2.401126366
TCGA-CG-5718-01A-11R-1602-13	0.002646156	0	0.130593609	0.025353266	0	0.182903549	0	0	0.134409095	0	0.024379796	0	0	0.203082143	0.076191089	0.085040961	0.011190731	0	0	0.036083236	0	0.088126367	1.052602623
TCGA-CG-4438-01A-01R-1157-13	0.010929871	0	0	0.124032323	0	0.059218547	0.208711733	0.030440862	0.002370349	0.048765799	0	0.026779861	0	0.072319242	0.127602431	0.185374444	0.012602486	0	0.071168568	0	0.019683483	0	3.189558754
TCGA-CG-4475-01A-01R-1157-13	0.046922665	0	0.016410927	0	0	0.273472778	0	0	0	0	0.031171908	0	0.001996515	0.124014783	0.002167693	0.092926815	0	0.055557304	0	0.21595441	0.06003683	0.079367372	1.187189225
TCGA-VQ-A8PC-01A-11R-A39E-31	0.065361156	0.010670469	0.125672927	0.040349921	0	0.298593606	0.000461321	0	0.003606384	0	0.014789952	0	0.008492106	0	0.048804822	0.241334552	0.041951516	0.019580073	0.062873931	0	0	0.017457265	1.16538177
TCGA-CD-A48C-01A-11R-A24K-31	0.021800727	0	0.045507041	0.119442075	0	0.153112087	0	0.060271216	0.065530133	0	0	0.041487436	0	0.140718973	0.114848196	0.115342044	0.052477748	0	0	0.069462325	0	0	0.759329611
TCGA-HU-A4HD-01A-11R-A251-31	0.034903017	0	0.046388714	0.055126016	0	0.133340545	0.020449856	0.00779586	0.12273691	0	0	0.040394752	0	0.264035391	0.052460493	0.116286139	0.025268208	0	0.073636633	0	0	0.007177465	0.43264334
TCGA-MX-A663-01A-11R-A31P-31	0.104141289	0	0	0.059981222	0	0.193689577	0	0.030183947	0.042137452	0	0	0.027856258	0	0.202228551	0.089708998	0.117750247	0.005232637	0	0	0.127089822	0	0	0.614641691
TCGA-VQ-A8P2-01A-11R-A36D-31	0.085767074	0	0.032797526	0.080913508	0	0.313728795	0.050110451	0.03290882	0.061207987	0	0.026921665	0.003790989	0	0.106689564	0.037919066	0.148413969	0.007427795	0	0	0.011402792	0	0	0.982569832
TCGA-VQ-A8E3-01A-11R-A39E-31	0.064159713	0	0.074058744	0.19081981	0	0	0.106919708	0.04070871	0.091926698	0.048897948	0.088919984	0.002867178	0	0.023519453	0.035958696	0.068754053	0.010672472	0.109489687	0.037619078	0	0	0.004708067	9.741913144
TCGA-RD-A7C1-01A-11R-A32D-31	0.020397093	0	0.013031016	0.198784291	0	0.075346708	0.08931518	0.044011851	0.045673418	0	0	0.024295678	0	0.06599039	0.075971871	0.177015321	0.012474781	0.003197308	0	0.091680642	0	0.06281445	3.39240497
TCGA-SW-A7EB-01A-11R-A354-31	0.190057465	0	0.030210572	0.144953008	0	0.201049481	0	0.091198349	0.097854506	0	0	0.050111464	0.007061192	0.05722159	0.062901399	0.050746967	0.001924921	0	0.014709086	0	0	0	0.583990761
TCGA-D7-6815-01A-11R-1884-13	0.054656918	0	0.069447447	0.031727148	0	0.170932528	0.029662014	0.004730265	0.108479376	0	0.040369648	0	0	0.329629593	0.031520566	0.111156804	0	0.003921537	0	0.008560874	0	0.005205282	1.75998547
TCGA-BR-8484-01A-11R-2402-13	0.049037394	0	0.038181132	0.042638271	0	0.224500666	0.021847658	0.044521689	0.051434707	0.036028301	0	0.020942147	0	0.175861388	0.093250852	0.135293721	0.011536548	0	0.046652936	0	0.00827259	0	2.337826931
TCGA-D7-A4Z0-01A-22R-A251-31	0.115707597	0.055970749	0.005486829	0.039945694	0	0.235467934	0.001904405	0.016305505	0.079067317	0	0	0.012640353	0.025237563	0.091802569	0.023370534	0.037749357	0.072415351	0.057231665	0.098432428	0	0	0.031264151	1.403151795
TCGA-CG-5721-01A-11R-1602-13	0.004745755	0	0.017767774	0.298770578	0	8.50E-05	0.174002707	0.016098693	0.031699947	0.018553848	0.028075037	0.005784717	0	0.106896177	0.14981898	0.095706394	0.02793497	0.001311036	0.015394975	0	0.001999141	0.005354267	10.54336625
TCGA-BR-A4J5-01A-21R-A251-31	0.035405845	0	0.020626446	0.082886666	0	0.18995914	0.000907311	0.017300641	0.070494826	0	0	0.011427629	0	0.267811897	0.037265194	0.14436086	0	0	0.117192418	0	0	0.004361128	0.562402988
TCGA-BR-4361-01A-01R-1157-13	0.027686254	0	0.012989685	0.095660775	0	0.141422519	0.117435992	0.017700395	0.030976278	0.071653044	0	0	0	0.063719607	0.118710623	0.249164387	0.024066983	0	0.006286919	0.002947742	0.017535613	0.002043184	4.24905807
TCGA-BR-6456-01A-11R-1802-13	0.025686869	0	0	0.087985155	0	0.239263377	0	0.029068075	0.104618148	0	0	0.062316152	0.004050242	0.113067911	0.090249562	0.175634001	0.031396744	0	0.030328676	0.006335089	0	0	1.175140647
TCGA-BR-7196-01A-11R-2055-13	0.090368958	0	0.130486615	0.157731616	0	0.137182106	0.063761974	0.003082975	0.014640544	0	0.015578616	0.0129749	0.020395351	0	0.150039284	0.100524395	0.024974206	0	0.078258459	0	0	0	1.396832324
TCGA-CG-4469-01A-01R-1157-13	0.043874197	0	0.003899903	0	0	0.179018151	0.0129371	0.018594224	0.017162945	0	0.008041747	0.003611101	0	0.105986762	0.050428859	0.29474388	0.045018572	0.034419005	0	0.097416653	0	0.084846901	1.835859951
TCGA-D7-A6EV-01A-11R-A31P-31	0.070632023	0	0.060111115	0.036824315	0	0.263899773	0.020226139	0.044475278	0.056114655	0	0	0.026133891	0	0.144855478	0.030270404	0.11552479	0.02716864	0.035006071	0	0.053684025	0	0.015073403	0.278702805
TCGA-R5-A7ZE-01B-11R-A354-31	0.103973668	0	0.004996548	0.003621703	0	0.055472393	0.027295704	0	0.09284344	0	0.013225153	0	0	0.278058211	0	0.014073406	0.041741684	0.04305642	0	0.267505299	0	0.05413637	0.701781289
TCGA-VQ-A91U-01A-11R-A414-31	0.029320191	0	0.116095324	0.025349909	0	0.272621029	0.053863881	0.014820592	0.047756671	0.014334665	0	0.040544548	0	0.172328613	0.071191213	0.113766837	0.001840999	0.002382153	0.023783374	0	0	0	1.253494779
TCGA-ZQ-A9CR-01A-11R-A39E-31	0.00584938	0	0.163693538	0.134717289	0	0.067944809	0.14318524	0	0	0	0.055169108	0	0	0.133795916	0.106636289	0.094653098	0.011924744	0.014337315	0	0.041359972	0	0.026733302	2.283986188
TCGA-HU-A4GY-01A-21R-A24K-31	0.106331428	0.090095465	0	0.131351002	0	0.156218941	0.034281123	0	0.101461959	0	0	0.002422538	0	0.091747214	0.072169661	0.161367518	0.006860753	0	0.041257187	0	0	0.00443521	2.00873722
TCGA-BR-6452-01A-12R-1802-13	0.056188711	0	0.045938207	0.056176561	0	0.175473519	0.124079263	0.031389528	0.050215426	0	0.03164538	0	0	0.196213396	0.063733556	0.152178848	0.011123085	0	0	0.005644521	0	0	2.026604616
TCGA-HU-A4GD-01A-11R-A36D-31	0.171235928	0	0.060907	0.067106825	0	0.223572431	0.028544223	0	0.182109981	0	0	0	0.005753488	0.051989362	0	0.018470232	0.023436487	0.101934893	0	0.052017298	0	0.012921853	0.488963016
TCGA-RD-A8N2-01A-12R-A36D-31	0.068188671	0	0	0.180022156	0	0.202823053	0.024133827	0	0.064284809	0	0	0.019825176	0.026641619	0	0.025304606	0.218656893	0.060769836	0.029673576	0.079675779	0	0	0	0.399514766
TCGA-RD-A8N6-01A-11R-A36D-31	0.070882991	0	0	0.037186409	0	0.216617269	0	0.001579913	0.08133203	0	0	0.043950287	0	0.159250925	0.143253555	0.190456	0.009028893	0	0.046461727	0	0	0	0.365537466
TCGA-FP-8209-01A-11R-2343-13	0.124688461	0.064275372	0	0.150032526	0	0.25677425	0.034686837	0	0.091146542	0	0	0	0.018162616	0.059565789	0.048462429	0.072495225	0.002137871	0	0.07757208	0	0	0	1.243546486
TCGA-IN-AB1X-01A-11R-A39E-31	0.007445413	0	0.086964665	0.318815609	0	0.10934684	0.033891029	0.028839695	0.162330518	0	0.004040832	0	0	0.054391108	0.044439958	0.0611677	0	0.068547357	0	0.011552188	0	0.008227089	5.791131091
TCGA-BR-A44T-01A-32R-A24K-31	0.266559316	0.263071394	0	0.103179233	0	0.057981929	0.010945071	0.013225911	0.096543637	0	0	0.03623583	0	0.065390492	0.036538867	0.024276598	0	0	0.026051722	0	0	0	1.793465646
TCGA-VQ-A92D-01A-11R-A414-31	0.045020656	0	0.018555511	0.086585911	0	0.179717299	0	0.046037464	0.072543414	0	0	0.072469308	0	0.124058281	0.133103463	0.079196062	0	0	0	0.142712631	0	0	0.750909565
TCGA-BR-6454-01A-11R-1802-13	0.023882347	0	0.135728832	0.26689117	0	0.081632054	0.104840262	0.08115086	0.106960132	0	0	0	0.001224505	0.036189806	0.076133625	0.049565911	0.02571488	0	0.002122057	0	0	0.007963561	1.528909677
TCGA-VQ-A8PH-01A-12R-A414-31	0.056731989	0	0.145205804	0.143554931	0	0.262729168	0.012580976	0.081436189	0.083114632	0	0	0.057794899	0.007208239	0.051152846	0.041216288	0.010993007	0.02937706	0	0.007575773	0.009328199	0	0	0.543655301
TCGA-D7-A748-01A-12R-A32D-31	0.016183152	0	0.009715006	0.020674266	0	0.168946606	0	0.004751512	0.057623733	0	0	0.035050827	0.009516411	0.169364994	0.052977786	0.252415453	0.073833277	0.003105643	0.054408116	0	0.006774682	0.064658536	1.483916329
TCGA-BR-6705-01A-12R-1884-13	0.041468171	0.015181475	0.043741793	0.137102395	0	0.149493127	0.003495035	0.006934859	0.109650398	0	0	0.023859825	0.012947145	0.143634496	0.086630939	0.117753018	0.025433415	0	0.082673909	0	0	0	0.665416857
TCGA-BR-A44U-01A-11R-A36D-31	0.042468764	0	0	0.034335353	0	0.12905021	0	0	0.103131042	0	0	0.111738952	0	0.153509682	0.099339562	0.111727947	0.132714251	0	0.081984237	0	0	0	0.173468989
TCGA-BR-4366-01A-01R-1157-13	0.027569892	0	0.018231463	0.001622357	0	0.136012825	0.008085378	0.01702314	0.008723582	0.027895445	0	0	0	0.396215719	0.086707964	0.239902114	0	0	0.025321884	0	0	0.006688236	0.553611294
TCGA-BR-8384-01A-21R-2402-13	0.0693605	0	0.013798055	0.185553745	0	0.228258795	0.016308314	0	0.040034134	0.013212162	0	0.022376768	0.00721488	0	0.048842226	0.186510125	0.062335234	0.018138669	0.088056392	0	0	0	0.931465807
TCGA-BR-7716-01A-21R-2055-13	0.062210536	0	0.009403223	0.133591112	0	0.17238755	0.062797324	0	0.086908604	0	0	0.011708466	0.01202793	0.074713817	0.152953842	0.115362458	0.032239451	0	0.073695688	0	0	0	1.554864047
TCGA-RD-A8N9-01A-12R-A39E-31	0.052227963	0	0.119802889	0.06408273	0	0.193129193	0.017198875	0.027397946	0.066843164	0	0	0.008978505	0.000737753	0.074016839	0.09422818	0.132202883	0.016826904	0	0.132326173	0	0	0	1.537051238
TCGA-BR-8588-01A-11R-2402-13	0.091365858	0	0	0.210610472	0	0.046634532	0.017685482	0.042679669	0.066105834	0	0	0.042922609	0	0.124140133	0.06993882	0.095158227	0.034748341	0.000720651	0.110309472	0	0.007260631	0.039719269	1.458614008
TCGA-VQ-A8PJ-01A-11R-A414-31	0.060615055	0	0.030086612	0.03204104	0	0.337978354	0	0	0.108027536	0	0.001387147	0.013610472	0.005366226	0.218248087	0.056230175	0.069065074	0	0.025954055	0	0.03946259	0	0.001927575	0.286261473
TCGA-CG-5724-01A-11R-1602-13	0.004684428	0	0	0.118056788	0	0.097519631	0.068148876	0.002032722	0.070655417	0	0.022670481	0	0.023812924	0.138592755	0.101376454	0.210162371	0.000106144	0.014165966	0	0.102474764	0	0.025540279	1.534895861
TCGA-BR-8380-01A-11R-2343-13	0.070907097	0	0.058435258	0.117362293	0	0.153759268	0.003586578	0.039095425	0.03823201	0	0	0.011797113	0.019923327	0.106593648	0.075431921	0.157062464	0.042482393	0	0.105331205	0	0	0	0.394819154
TCGA-BR-8368-01A-11R-2343-13	0.021165645	0	0.078842116	0.150509594	0	0.254452685	0.082605846	0.05954542	0.108978642	0	0.017896547	0	0	0.051867725	0.047828908	0.096008575	0.024410494	0	0	0.005887803	0	0	0.901408706
TCGA-BR-8080-01A-11R-2343-13	0.003555616	0.065591363	0.041577819	0.14759291	0	0.208880693	0.000504885	0.000919483	0.108266739	0	0	0.036304137	0.007363216	0.098731524	0.062357315	0.106877543	0.03793668	0	0	0.041044396	0.02990374	0.002591943	1.387079641
TCGA-VQ-A94T-01A-11R-A414-31	0.071702264	0	0.029754364	0.00290608	0	0.261283407	0	0	0.080109468	0	0.120674013	0.03852464	0	0.20950412	0.003204334	0.11120566	0	0.00824436	0	0.038093353	0	0.024793939	2.588597726
TCGA-BR-6564-01A-12R-1884-13	0.049961866	0	0	0.21191046	0	0.241057103	0	0	0.102614307	0	0	0.035851757	0.016211286	0	0.098125891	0.149991864	0.010177264	0	0.084098201	0	0	0	0.582952916
TCGA-BR-8592-01A-11R-2402-13	0.132804656	0.021358773	0.089931895	0.087116926	0	0.310356738	0.0199651	0	0.044523164	0	0	0.018512256	0.008139756	0	0.029407815	0.180483179	0.012419769	0	0.044979973	0	0	0	0.620286294
TCGA-BR-7707-01A-11R-2055-13	0	0	0.048860416	0.093268438	0	0.108082264	0.119725853	0.033165261	0.055557961	0	0.099400836	0	0	0.075003553	0.092368804	0.10538852	0	0.03564214	0	0.108796545	0	0.024739409	3.635890836
TCGA-F1-6874-01A-11R-1884-13	0.033965303	0	0	0.009255552	0	0.145391705	0.05557345	0	0.028827163	0	0.074923714	0	0	0.414576236	0.055264111	0.048017149	0	0	0	0.094351458	0	0.039854158	2.007875506
TCGA-D7-8572-01A-11R-2343-13	0.035702074	0	0.027475238	0.03613844	0	0.124434638	0.002729045	0.048248804	0.054493983	0	0.019630213	0	0	0.429178393	0.048148224	0.089377268	0	0	0	0.076825772	0	0.007617908	2.796834521
TCGA-VQ-A8E0-01A-11R-A414-31	0.06531202	0	0.001611864	0.017680561	0	0.279402248	0	0.003026087	0.077255943	0	0	0.037183604	0	0.20328524	0.023996147	0.118752353	0	0.016148974	0	0.114832277	0	0.041512683	0.634592521
