Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	PD-L1
TCGA-VQ-A8PD-01A-11R-A414-31	0.033775002	0.147452282	0.052398041	0.12342323	0	0.297982867	0.041030419	0	0.062838302	0	0.043354855	0	0.002617017	0.04499565	0.064064843	0.019164941	0.02848064	0.005203442	0	0.020535019	0	0.012683448	2.0067079
TCGA-BR-6563-01A-13R-2055-13	0.118453697	0	0.116692759	0.245974151	0	0.071676394	0.008973685	0.018183741	0.065415619	0	0	0.017714613	0.011456407	0.082404147	0.057946519	0.072787822	0.067919378	0	0.044401068	0	0	0	0.929361832
TCGA-F1-6177-01A-11R-1802-13	0.016299764	0	0	0.05990239	0	0.221820895	0.03428492	0.045685764	0.039927251	0	0	0.009095807	0	0.179321788	0.069565515	0.134887432	0	0	0	0.189208474	0	0	1.135790757
TCGA-VQ-A925-01A-11R-A414-31	0.09941265	0	0.048476575	0.196435225	0	0.361683665	0.032835515	0.002853781	0.060627411	0	0	0.004270906	0.008920175	0.035152673	0.053176806	0.05687744	0.017462332	0.009012596	0.012802248	0	0	0	0.781054122
TCGA-VQ-A94P-01A-13R-A414-31	0.070411706	0	0.016737814	0.135223468	0	0.318091043	0	0.016925274	0.050721864	0	0	0.069300423	0.046401908	0	0.081028478	0.12949976	0.008811634	0	0.05470107	0	0.002145558	0	0.920356291
TCGA-MX-A666-01A-11R-A31P-31	0.346809553	0	0.056753543	0.024776333	0	0.219890351	0	0.004169214	0.110467168	0	0	0.057296629	0	0.084741889	0.002138485	0.02001047	0	0.007483799	0.063940187	0	0	0.001522381	0.688592949
TCGA-BR-6709-01A-11R-1884-13	0.006694079	0	0.073030962	0.232502521	0	0.127067378	0.069663148	0.02414509	0.063102249	0	0.010646807	0	0.007822513	0.117345778	0.077269454	0.190710022	0	0	0	0	0	0	3.278763694
TCGA-BR-8369-01A-11R-2343-13	0.170075109	0.064476485	0	0.072877924	0	0.229237604	0	0	0.104773745	0	0	0	0.010306559	0.111029645	0.075568626	0.09105917	0.017163323	0	0.03233769	0.021094122	0	0	0.318372407
TCGA-HU-A4G9-01A-11R-A24K-31	0	0.041973972	0.039307626	0.0169388	0	0.32560563	0	0.042880737	0.037977064	0	0	0.068930135	0	0.152519523	0.079734758	0.069756973	0	0.033979575	0.034910041	0	0	0.055485166	0.278400501
TCGA-BR-6565-01A-11R-1802-13	0.009806053	0	0.057349406	0.130572795	0	0.159156663	0.054897917	0.029318981	0.047595661	0	0	0.035546808	0.009639065	0.225937129	0.08743848	0.107895133	0.014246571	0	0.030599338	0	0	0	2.07177789
