"","log2FC","t","B","PValue","FDR"
"ICOS",2.23085896573288,10.7633831535886,36.7903845076641,7.434708878087e-21,1.88465042326468e-18
"OR2I1P",2.9716111168599,10.5971256299595,35.7441022398719,2.15472025339271e-20,5.25724807824654e-18
"CD244",2.19267051331226,10.5705444685996,35.5770961653351,2.55363275571105e-20,6.15362441465729e-18
"GZMM",2.40649966086633,10.4828119550377,35.0264476821274,4.47085523779876e-20,1.0514051010433e-17
"ITGAL",2.03687560828997,10.3632920683128,34.2777423576124,9.57477224216956e-20,2.19870563994009e-17
"PLAAT4",2.40404602976973,10.3566729325377,34.2363292621398,9.98672887628777e-20,2.2666390806542e-17
"CXCR3",2.04697256261853,10.3350015629141,34.1007792273474,1.14631748529651e-19,2.54261034039802e-17
"GZMK",2.86698048015722,10.2479576415035,33.5569425028171,1.99325741673201e-19,4.2289555996948e-17
"CALHM6",2.09471904675325,9.98312061638999,31.908638539355,1.06623873359481e-18,1.98208703247972e-16
"HLA-DQA1",2.30100640756468,9.96052391763687,31.7684712669029,1.22968462305923e-18,2.2643598261786e-16
"KLRC4",3.74875045012253,9.94135632469947,31.6496356624008,1.38773852338019e-18,2.53152039606148e-16
"FCGR3A",2.09814101414049,9.89000145263263,31.3315244396754,1.9181684312858e-18,3.43492932204289e-16
"KIR3DL2",3.11897313050449,9.81524644210698,30.8692084902395,3.07046915153444e-18,5.30375994414166e-16
"HLA-DPA1",2.09534035249146,9.81206797220832,30.8495714634929,3.13244566039023e-18,5.36335147764535e-16
"DTHD1",2.62594576433772,9.77650838515282,30.6299922450597,3.91679614362198e-18,6.43204886493669e-16
"KLRC1",2.31180759565052,9.64071338605794,29.7934186721481,9.17707935314048e-18,1.43301929515159e-15
"SLAMF7",2.12034999318666,9.52002614595046,29.0526316609587,1.95068117940175e-17,2.90651495730861e-15
"SIT1",2.05750778586185,9.45789962982475,28.6723362100516,2.87291612347197e-17,4.21627442210898e-15
"IL9R",2.02694649260056,9.4440537247672,28.5876802983759,3.13150337675294e-17,4.52768995635857e-15
"KIR2DL4",2.71488951229372,9.36880008670327,28.1282133425414,4.99935716861715e-17,6.97017518387415e-15
"CXCL13",2.97226176322916,9.34116289867399,27.9597501724538,5.93482776138792e-17,8.15788049820639e-15
"KCNJ10",2.35778974886411,9.20466470300933,27.129981641636,1.38156413878368e-16,1.78587751158402e-14
"KLHDC7B",2.21435038022828,9.11504620940845,26.5873058356217,2.40108418875476e-16,2.89301001730272e-14
"KIR2DL3",2.53944082473362,9.10963343157854,26.5545845270812,2.4824569165015e-16,2.97270408301796e-14
"TLR8",2.09597232108542,8.98718917195863,25.8161121396177,5.26719485958905e-16,5.97320976261824e-14
"GPR174",2.87373689957914,8.96255701211892,25.6679606861476,6.12532218951933e-16,6.79319112597886e-14
"KLRC3",3.4710013071543,8.94140463501379,25.5408497208363,6.97222344945017e-16,7.64555221965269e-14
"XCL2",2.75104608319632,8.83823513029242,24.9223721020697,1.30935186711015e-15,1.35877832764665e-13
"GPR25",2.47165504947284,8.82347874419708,24.8341176971073,1.43256479601208e-15,1.44882032400828e-13
"CLEC12A",2.00559409121644,8.80443363235938,24.7202911912757,1.60875875178518e-15,1.61032626031256e-13
"P2RY10",2.16081104170603,8.76761455331152,24.5004858598266,2.01268606129581e-15,1.99419386956513e-13
"RTP5",2.75320634410449,8.76018672930631,24.4561829898132,2.10564498834925e-15,2.07576184482773e-13
"PRKCQ",2.05347502542274,8.74142761874742,24.3443559566212,2.35984069517416e-15,2.30308652645522e-13
"HLA-DOA",2.29776051554948,8.73526965881714,24.3076660853677,2.4497567029814e-15,2.37894532763652e-13
"IL21",3.9664203969985,8.59350344016806,23.4656576264173,5.77936579148732e-15,5.42343465788658e-13
"PLA2G2D",3.22406493903716,8.5511610348494,23.2151759181757,7.46086314034309e-15,6.86927300171494e-13
"CD38",2.08448753189717,8.29816019780121,21.7286583421476,3.39785108294642e-14,2.83430150803552e-12
"KLRK1",2.34164471903444,8.11962403379355,20.6906683954322,9.79919520369775e-14,7.80695882371332e-12
"TIFAB",2.2552293776524,8.07705512590453,20.4445906594203,1.25971083924544e-13,9.83531834849273e-12
"KIR3DL1",2.54442338771433,7.90394145546195,19.4497112349707,3.47862355187858e-13,2.49629607018816e-11
"GUCY2C",-2.90323326712943,-7.85658321365491,19.1792207768026,4.58545728244573e-13,3.16266928254623e-11
"ZNF831",2.04356819744015,7.72804782815226,18.4488365121448,9.67004691437746e-13,6.39829307531301e-11
"UGT1A8",-3.18927464187273,-7.67277068209752,18.136458146186,1.33063831696127e-12,8.46017241327919e-11
"SMIM32",-3.81007986241476,-7.47029398796342,17.001434573897,4.24612969158708e-12,2.49639173042435e-10
"AC068775.1",2.89766536897063,7.39499756597879,16.5831479938437,6.51324752790322e-12,3.70647459175344e-10
"KLRC2",2.67210173381685,7.39120239579464,16.5621210631121,6.65486404391688e-12,3.77605497887249e-10
"XCR1",2.04039211341801,7.26261352584008,15.8529171057758,1.37497891413328e-11,7.49670766060544e-10
"ACOD1",2.77291981733355,7.24754516696649,15.7702277383487,1.49641484925981e-11,8.11347817852839e-10
"ZNF80",2.18740499872319,7.17004395241569,15.3463397448085,2.3094496515433e-11,1.21832831752632e-09
"TM4SF20",-3.88961089324885,-7.12501280405127,15.1011414460319,2.96858232101243e-11,1.54516688863578e-09
"SIGLEC8",2.01008290870198,7.10613984804769,14.998619326025,3.29721504581312e-11,1.71165799146878e-09
"KCNK15",-2.81169787509776,-7.0921001900075,14.9224463652673,3.56474681507714e-11,1.81198679904924e-09
"FABP1",-4.37811755583908,-6.66711529810358,12.6559636007051,3.64062280247131e-10,1.55495222060038e-08
"FUT6",-2.95888589691722,-6.6302761733143,12.4632242382099,4.43703419575315e-10,1.8745989278551e-08
"TRHDE",-2.22540464446337,-6.58888391172605,12.2474018109247,5.53758126457624e-10,2.29974571709071e-08
"HMGCS2",-3.53848583526536,-6.45102796452756,11.5343432235853,1.15188194404573e-09,4.56056463809912e-08
"PLA2G4F",-2.05113412822621,-6.44144095181208,11.4850872911795,1.2116857432994e-09,4.76832540795585e-08
"NPC1L1",-2.84724719065034,-6.43223793452269,11.4378454489441,1.27196265537512e-09,4.9954605775185e-08
"CLDN3",-2.76302541008519,-6.35826952494635,11.0596199221031,1.87638406971848e-09,7.28134009082207e-08
"RXFP4",-2.05317754762939,-6.34432699487105,10.9886233879178,2.01848081595911e-09,7.77095208021811e-08
"KIR2DL1",2.45339008418339,6.305449141868,10.7911553727336,2.47295933196546e-09,9.35459170554918e-08
"CLEC6A",2.32955780944168,6.26355550185432,10.5792015031666,3.07541326906958e-09,1.14559144272842e-07
"NR1I2",-2.73942657668832,-6.25225600928603,10.5221823973439,3.26122036291435e-09,1.21018555634459e-07
"SLC16A9",-2.14399879516142,-6.15692639303087,10.0436775789198,5.33650148929802e-09,1.90426275264366e-07
"MUC16",2.75740524707952,6.11459610871926,9.83267624836388,6.6315050896601e-09,2.33225851973109e-07
"PLAAT1",-2.64209732672378,-6.06481125372314,9.58569296924641,8.55251770232444e-09,2.92871215845037e-07
"CARD17",2.38241440271799,6.05435124078571,9.53396357265411,9.02067166940458e-09,3.07285323412056e-07
"GPR31",2.03341963113986,6.02025596572197,9.36574260303209,1.07279561033157e-08,3.62281963980311e-07
"PPP1R14C",-2.34788368536329,-5.98616982235781,9.19817479649246,1.27503405080297e-08,4.22730426825576e-07
"PRAP1",-2.61422219700178,-5.98009072604196,9.16835412844361,1.31483660701309e-08,4.33518508991358e-07
"C11orf53",-2.6395114457476,-5.97219972523843,9.12967436059925,1.36832327927906e-08,4.47375244359262e-07
"SPINK4",-3.38507698276296,-5.96022265240661,9.07102858471652,1.45360500487675e-08,4.71310898508128e-07
"MYO7B",-2.11736488604344,-5.93328126420507,8.93938816607697,1.6649265100185e-08,5.31877259395272e-07
"CHP2",-3.5562424110138,-5.92786161335096,8.91295346319992,1.71093703031621e-08,5.45682678018662e-07
"AKR1C4",-2.35104295631791,-5.90906740428758,8.82140502235639,1.88034905191072e-08,5.96789156816997e-07
"KCNJ3",-2.63625822875225,-5.86197683481999,8.59285503421745,2.38030382586418e-08,7.43378406032686e-07
"MEP1A",-2.9155135716917,-5.83149303486703,8.4455435961798,2.77109080364818e-08,8.57017488401287e-07
"IYD",-2.08577884631958,-5.8119797306822,8.3515119489887,3.05351543265534e-08,9.31274495781242e-07
"TRPC7",-2.25989704938771,-5.8115603051776,8.34949308359873,3.05988527082192e-08,9.31761319831093e-07
"TMEM229A",-2.89847605216875,-5.80618626233989,8.32363414615916,3.14266112142115e-08,9.55476673349213e-07
"SLC39A5",-2.12572603796137,-5.79635420587797,8.27636497140248,3.29981340908319e-08,9.97392201855083e-07
"WFDC2",-2.57614050141254,-5.76741621638571,8.13754906663779,3.80832276807349e-08,1.13661547568848e-06
"SLC17A4",-3.09691646099941,-5.74993058549996,8.05389403601603,4.15194514512526e-08,1.22976960982853e-06
"MAB21L3",-2.33678187951213,-5.73806730045237,7.9972338794249,4.40216082989112e-08,1.29993611556195e-06
"TFF3",-2.42936170825806,-5.72942632545208,7.95601293730415,4.59363769993702e-08,1.35034961242576e-06
"AL645941.2",2.65143058145393,5.72232889606066,7.92218638325136,4.75698344165543e-08,1.39207735828594e-06
"CPA5",2.06720450540747,5.69744113363901,7.80379248481242,5.37590520955433e-08,1.55455250052283e-06
"SLC34A2",-2.83421587630604,-5.6555663023931,7.60537236976128,6.59938112116373e-08,1.87904071824499e-06
"ALPI",-3.00435023777927,-5.64404231099631,7.55094027370957,6.98133283779167e-08,1.97777410247976e-06
"IFNL1",2.46339003260076,5.6255080693558,7.46355380620204,7.64139004578641e-08,2.142992705513e-06
"TDRD5",-2.47294444822389,-5.59138023915896,7.30315640567099,9.01993804592262e-08,2.47623306214295e-06
"UGT1A10",-2.68137108747064,-5.56578055881818,7.18327723692615,1.02106584494012e-07,2.77966307215986e-06
"VWA2",-2.05524697809683,-5.56203623303303,7.16577468217193,1.03972155633962e-07,2.82650766827202e-06
"TM4SF4",-2.91603175257457,-5.55844211995426,7.14898186718588,1.05794172683218e-07,2.86407275534499e-06
"TTLL2",-2.25907576990324,-5.5250254446747,6.99320526029373,1.24297265313656e-07,3.33721914945978e-06
"CDH17",-2.5467110268145,-5.51697026080488,6.95575144767198,1.29209717557701e-07,3.46434680907798e-06
"VSNL1",2.04101049735367,5.51514347792428,6.94726277421012,1.30349866470247e-07,3.4901221449009e-06
"PPP1R1B",-2.6023785112858,-5.51126040830209,6.92922540517753,1.32806120659986e-07,3.55032655678841e-06
"IFNL2",2.69172654447733,5.49425720781619,6.85034650735581,1.4410413877667e-07,3.79590915625076e-06
"SLC30A10",-2.39131491941545,-5.47464525151468,6.75957466310884,1.58302712963663e-07,4.13642657876538e-06
"UGT1A9",-2.02143853556426,-5.46204720678831,6.70138457039154,1.68133925217122e-07,4.38744129186231e-06
"SLC6A20",-2.21321950703446,-5.4286787220851,6.54770651341902,1.9714118597671e-07,5.07651557926043e-06
"C9orf57",-2.2060827175296,-5.41967765613128,6.5063645830792,2.05767274344991e-07,5.26392061328949e-06
"FAM166C",-2.31477002678167,-5.4155771356386,6.48754674976126,2.09817955574407e-07,5.35351199327692e-06
"UGT1A1",-2.65582098343531,-5.41155353632293,6.4690915865123,2.13868179439961e-07,5.44262450389647e-06
"FUT3",-2.12326087235905,-5.39564467207471,6.39621586055251,2.30642033740596e-07,5.8314790888377e-06
"MOGAT1",-2.48840620738631,-5.36866024876216,6.27294883935875,2.62070353378584e-07,6.55814259948281e-06
"TBX10",-2.00741167246858,-5.36654636498825,6.26331077631657,2.64701502564774e-07,6.615504005841e-06
"FABP2",-3.2316030493321,-5.35797121470017,6.22424052693941,2.7564150700404e-07,6.86255940715797e-06
"SLC15A1",-2.70563159552776,-5.35589376635554,6.21478183585114,2.78357458423669e-07,6.91254355085444e-06
"RETNLB",-2.8392228399063,-5.35542257224857,6.21263683271785,2.78977092134291e-07,6.91912815930017e-06
"IFNL3",2.80842482648222,5.28332860413928,5.88601789088555,3.91443788581607e-07,9.40959520852756e-06
"KRT40",-2.60513392992744,-5.24640544927758,5.71995707233154,4.6505411981063e-07,1.08451509732183e-05
"PROM1",-2.02102375208322,-5.16535562501568,5.35836570626056,6.76956133962042e-07,1.5293410623617e-05
"CYP2B6",-2.38677894487788,-5.1389896612187,5.24161294091948,7.6426191233724e-07,1.70877757925665e-05
"ERICH5",-2.28135588178531,-5.13731642600524,5.23421817459529,7.70157359081153e-07,1.71998872905092e-05
"KBTBD12",-2.05227574726619,-5.11896754579921,5.15324093481394,8.37777728982122e-07,1.86248103553554e-05
"CFHR4",-2.13093355851549,-5.10179515996136,5.07764646161175,9.06266475274367e-07,1.99205127600004e-05
"CAPN13",-2.18548919713715,-5.09753627998715,5.05892706546046,9.24076400037566e-07,2.02872161208411e-05
"UGT1A7",-2.13793284981784,-5.09528440833272,5.04903383396208,9.33630289331163e-07,2.04299659388509e-05
"FAM3B",-2.13949108825619,-5.07288486260636,4.9507986348629,1.03404013569668e-06,2.22775159036021e-05
"PNMT",-2.08505044951264,-5.06720161802403,4.92592451681426,1.06113918095704e-06,2.27608523880225e-05
"DUOX2",-2.71153650814678,-5.05782086901374,4.88491195792033,1.10738420425459e-06,2.36488318193055e-05
"DUOXA2",-3.05956570269375,-5.04392785914366,4.82427405207864,1.17948746256622e-06,2.49554528558902e-05
"ABCG8",-2.52092223103235,-4.94519066701012,4.39686359973353,1.84046443571175e-06,3.73819202088009e-05
"GGT6",-2.31027924257377,-4.94309354072486,4.38785341956514,1.85782009620004e-06,3.76952083760173e-05
"RASSF10",-2.2567295407502,-4.91474474676548,4.26633329384983,2.10858361392007e-06,4.22561022177678e-05
"CHIT1",2.04879072969472,4.89229497659783,4.17046948040385,2.33014820777415e-06,4.60345778011575e-05
"KRTAP5-5",-2.49784234731912,-4.89024548847757,4.16173418455678,2.35146345923906e-06,4.63618335968558e-05
"F7",-2.0260979675324,-4.87214570211848,4.08470838462365,2.54808900298019e-06,4.98358208909522e-05
"FAM131C",-2.01092968683366,-4.85880906799793,4.02808960971056,2.70306492022042e-06,5.2655812552677e-05
"GNGT1",-2.90863498375136,-4.8463734373839,3.97540080281845,2.85576734634377e-06,5.54092672299045e-05
"NAT2",-2.51921009787489,-4.84437512819443,3.96694357550838,2.88107169390528e-06,5.58447253161242e-05
"CLPSL1",-2.7503664170275,-4.83589404249956,3.93107916671665,2.99090310930663e-06,5.77442510292345e-05
"PRAC2",-2.62343942578203,-4.81323651426054,3.83549809833086,3.3045678158555e-06,6.29193682571841e-05
"TMEM244",2.10695494487475,4.80550382637461,3.80295510385218,3.41872881272165e-06,6.46610152088313e-05
"APOBEC1",-2.29272003415878,-4.74291174119553,3.54099481969446,4.49425639852216e-06,8.2679915780164e-05
"ZG16",-2.07097929484897,-4.73552365086026,3.51024623893829,4.6409711961329e-06,8.50583256125053e-05
"MUC15",-2.89145266991861,-4.72079731581794,3.44906541287926,4.94734295490581e-06,8.98299415226107e-05
"FER1L6",-2.47749504430635,-4.71133013710035,3.4098105606249,5.1545252507313e-06,9.2900441707317e-05
"TLX1",-2.23531726800296,-4.70629255270112,3.38894715760904,5.26816075085445e-06,9.4773483590717e-05
"KRT12",-2.10737401367327,-4.70476688311632,3.38263188436098,5.30305095684245e-06,9.53133072068211e-05
"SMIM2",-2.01668580532189,-4.69885052292265,3.3581568207365,5.44047409592015e-06,9.76035054028175e-05
"RBP4",-2.12606036052624,-4.69586332262042,3.34580817865057,5.51116030365107e-06,9.87808429448717e-05
"CEACAM20",-2.17580523361962,-4.64838855650702,3.15036249116475,6.76098982745171e-06,0.000117828357537527
"BCL2L10",-2.19327910943175,-4.64791163918302,3.14840683640476,6.77483672438816e-06,0.000117964351492714
"C3orf85",-2.5152324131252,-4.63152588926085,3.08130894722511,7.26756283628464e-06,0.000125870061225767
"TRIM54",-2.21813269492369,-4.60883029928191,2.98867462626976,8.00748121277421e-06,0.000136504826019336
"C9orf135",-2.10837026019203,-4.5870445803882,2.90008473618559,8.78575646777875e-06,0.000148218824973702
"NR0B2",-2.01369865880673,-4.57373385693712,2.84611766361085,9.29663765495146e-06,0.000155094931954699
"VTCN1",-2.11838870623572,-4.5302729438807,2.67075773597292,1.11718589713523e-05,0.00018126642997658
