"","log2FC","t","B","PValue","FDR"
"TM4SF4",-2.91603175257457,-5.55844211995426,7.14898186718588,1.05794172683218e-07,2.86407275534499e-06
"TTLL2",-2.25907576990324,-5.5250254446747,6.99320526029373,1.24297265313656e-07,3.33721914945978e-06
"CDH17",-2.5467110268145,-5.51697026080488,6.95575144767198,1.29209717557701e-07,3.46434680907798e-06
"PPP1R1B",-2.6023785112858,-5.51126040830209,6.92922540517753,1.32806120659986e-07,3.55032655678841e-06
"BBOX1",-1.9128176007678,-5.50440113238127,6.89738456571348,1.37255820268646e-07,3.65497456456168e-06
"SLC30A10",-2.39131491941545,-5.47464525151468,6.75957466310884,1.58302712963663e-07,4.13642657876538e-06
"UGT1A9",-2.02143853556426,-5.46204720678831,6.70138457039154,1.68133925217122e-07,4.38744129186231e-06
"SCIN",-1.47557089123515,-5.44142657615734,6.60633923679588,1.85525040917373e-07,4.80273643722308e-06
"SGSM1",-1.35625410138471,-5.43654068944365,6.5838556778469,1.89896054348872e-07,4.90288503285137e-06
"SLC6A20",-2.21321950703446,-5.4286787220851,6.54770651341902,1.9714118597671e-07,5.07651557926043e-06
"TM4SF5",-1.79723565352052,-5.42670332460335,6.53862940764155,1.99003554956695e-07,5.11772119789161e-06
"C9orf57",-2.2060827175296,-5.41967765613128,6.5063645830792,2.05767274344991e-07,5.26392061328949e-06
"FAM166C",-2.31477002678167,-5.4155771356386,6.48754674976126,2.09817955574407e-07,5.35351199327692e-06
"UGT1A1",-2.65582098343531,-5.41155353632293,6.4690915865123,2.13868179439961e-07,5.44262450389647e-06
"SGK2",-1.55179185476573,-5.40089933723183,6.42026996295756,2.24964562058753e-07,5.70270556730494e-06
"FUT3",-2.12326087235905,-5.39564467207471,6.39621586055251,2.30642033740596e-07,5.8314790888377e-06
"GOLT1A",-1.9164708318918,-5.37108195161735,6.28399365382069,2.59087380466418e-07,6.49690612307306e-06
"MOGAT1",-2.48840620738631,-5.36866024876216,6.27294883935875,2.62070353378584e-07,6.55814259948281e-06
"TBX10",-2.00741167246858,-5.36654636498825,6.26331077631657,2.64701502564774e-07,6.615504005841e-06
"PROC",-1.7725525556845,-5.36623625350226,6.26189707528016,2.65089656938122e-07,6.61673275418823e-06
"FABP2",-3.2316030493321,-5.35797121470017,6.22424052693941,2.7564150700404e-07,6.86255940715797e-06
"SLC15A1",-2.70563159552776,-5.35589376635554,6.21478183585114,2.78357458423669e-07,6.91254355085444e-06
"RETNLB",-2.8392228399063,-5.35542257224857,6.21263683271785,2.78977092134291e-07,6.91912815930017e-06
"SHC2",-1.03131132545735,-5.35446963496312,6.2082992102727,2.80234342123741e-07,6.94149000496612e-06
"TCEA3",-1.30730489635579,-5.35102877379446,6.1926414697882,2.84820136069575e-07,7.04613971602287e-06
"SLC6A8",-1.313490359886,-5.32987334651966,6.09652906034999,3.14664308465499e-07,7.70631447545555e-06
"SULT1A2",-1.39803898177453,-5.32804277026858,6.08822510156257,3.17385432451735e-07,7.76321585968097e-06
"MUC3A",-1.99694851961182,-5.32268366556871,6.06392643199189,3.25484101828558e-07,7.94513991443793e-06
"MYZAP",-1.05539157564987,-5.32258363157003,6.06347303306583,3.25637170528733e-07,7.94513991443793e-06
"RNF183",-1.66457354305788,-5.27199248086851,5.83494577141809,4.12744622754035e-07,9.83682819479367e-06
"LRRC75B",-1.09015764582686,-5.26093267048907,5.78519379098983,4.34611675044279e-07,1.02702001031347e-05
"TCF24",-1.85613119404988,-5.25575972108218,5.76194911196398,4.45222588160958e-07,1.0482870564914e-05
"RIMKLA",-1.45832277451696,-5.25188646943614,5.74455531292785,4.53332170551072e-07,1.06225577874986e-05
"AMBP",-1.69127272983646,-5.25096155192758,5.74040309460955,4.55289868543245e-07,1.064287777736e-05
"KRT40",-2.60513392992744,-5.24640544927758,5.71995707233154,4.6505411981063e-07,1.08451509732183e-05
"ONECUT2",-1.618336935613,-5.19872024768073,5.50672713549788,5.80282735400092e-07,1.32940595214488e-05
"RCOR2",-1.35999924645595,-5.18642484830802,5.45197353358565,6.14234423160674e-07,1.39897802866665e-05
"RAP1GAP",-1.45601894316214,-5.16969128206561,5.37760601474475,6.63560308461683e-07,1.50255610914891e-05
"PROM1",-2.02102375208322,-5.16535562501568,5.35836570626056,6.76956133962042e-07,1.5293410623617e-05
"LRRIQ4",-1.59842193827846,-5.14047775499222,5.24819095058672,7.5905565707432e-07,1.69908341404056e-05
"CYP2B6",-2.38677894487788,-5.1389896612187,5.24161294091948,7.6426191233724e-07,1.70877757925665e-05
"ERICH5",-2.28135588178531,-5.13731642600524,5.23421817459529,7.70157359081153e-07,1.71998872905092e-05
"KBTBD12",-2.05227574726619,-5.11896754579921,5.15324093481394,8.37777728982122e-07,1.86248103553554e-05
"WNK4",-1.57687305538937,-5.10772621511886,5.10373465233613,8.82018322863769e-07,1.94463032338835e-05
"CFHR4",-2.13093355851549,-5.10179515996136,5.07764646161175,9.06266475274367e-07,1.99205127600004e-05
"CAPN13",-2.18548919713715,-5.09753627998715,5.05892706546046,9.24076400037566e-07,2.02872161208411e-05
"PPP1R14D",-1.66233046287347,-5.0956462657121,5.05062338077535,9.32088613176252e-07,2.04191219310744e-05
"UGT1A7",-2.13793284981784,-5.09528440833272,5.04903383396208,9.33630289331163e-07,2.04299659388509e-05
"PRSS51",-1.95367836179587,-5.08438229676827,5.00118222525494,9.81257359107357e-07,2.14001814440408e-05
"PIFO",-1.89378264642574,-5.08164370487984,4.98917372723451,9.93587153978306e-07,2.16134519600587e-05
"LONRF3",-1.08823797525756,-5.0814735205179,4.98842763870379,9.94358310371057e-07,2.16134519600587e-05
"GPD1",-1.65449794802183,-5.07933566322074,4.97905682177005,1.00409523687159e-06,2.17765943649963e-05
"WNK2",-1.44674754324812,-5.07742720976376,4.970693976204,1.01286551600002e-06,2.18569028199086e-05
"FAM3B",-2.13949108825619,-5.07288486260636,4.9507986348629,1.03404013569668e-06,2.22775159036021e-05
"PNMT",-2.08505044951264,-5.06720161802403,4.92592451681426,1.06113918095704e-06,2.27608523880225e-05
