SampleID,ImmuneScore,PDL1,T.cells.CD8,StromalScore,ESTIMATEScore,TMB,Group
TCGA-D7-8572-01A-11R-2343-13,1237.023956,2.796834521,0.03613844,913.7642543,2150.78821,4.289473684,III
TCGA-HU-A4H6-01A-11R-A251-31,1385.148985,0.894325665,0.036378246,-89.07278362,1296.076201,2.5,II
TCGA-B7-A5TN-01A-21R-A31P-31,604.1848259,0.947272255,0.036584431,554.9992601,1159.184086,1.684210526,II
TCGA-D7-A6EV-01A-11R-A31P-31,14.38015291,0.278702805,0.036824315,-1000.280492,-985.9003389,3.5,II
TCGA-HU-A4G3-01A-11R-A24K-31,436.8450138,0.274418349,0.03770493,-507.1383912,-70.29337738,2.421052632,II
TCGA-R5-A7ZR-01A-11R-A354-31,344.324797,0.486695233,0.038101078,-1056.365681,-712.0408837,1.447368421,II
TCGA-HU-8602-01A-11R-2402-13,1689.89362,6.850649536,0.038150737,-0.018364639,1689.875255,37.07894737,III
TCGA-CG-4460-01A-01R-1157-13,535.0458519,1.982726314,0.038462197,-366.6888752,168.3569766,41.84210526,III
TCGA-BR-8591-01A-11R-2402-13,1136.642417,2.036057197,0.038498531,101.0656879,1237.708105,34.42105263,III
TCGA-IN-A6RN-01A-12R-A33Y-31,209.5175283,1.310394338,0.03861814,-1024.56655,-815.0490217,2.447368421,III
TCGA-CD-A4MG-01A-11R-A251-31,1177.350351,0.801067523,0.038655848,481.4616215,1658.811972,58.47368421,II
TCGA-D7-6524-01A-11R-1802-13,1604.993548,1.934564051,0.039160935,1243.67679,2848.670338,2.236842105,III
TCGA-D7-A6F2-01A-12R-A31P-31,1329.257671,1.150803297,0.039671688,15.79274937,1345.05042,1.605263158,III
TCGA-D7-A4Z0-01A-22R-A251-31,1679.05427,1.403151795,0.039945694,567.3694231,2246.423693,6.868421053,III
TCGA-D7-6520-01A-11R-1802-13,627.6906903,0.423901126,0.040470171,426.8363598,1054.52705,1.342105263,II
TCGA-3M-AB46-01A-11R-A414-31,189.1578558,0.373488425,0.041866755,-226.7285253,-37.57066946,4.157894737,II
TCGA-BR-8484-01A-11R-2402-13,1863.05258,2.337826931,0.042638271,543.8314839,2406.884064,1.684210526,III
TCGA-D7-8573-01A-11R-2343-13,332.5366555,0.908146151,0.042708525,-941.7978783,-609.2612228,1.842105263,II
TCGA-BR-6801-01A-11R-1884-13,309.4106129,0.538662115,0.043131232,200.7127764,510.1233893,0.868421053,II
TCGA-VQ-A8E7-01B-11R-A414-31,27.12608738,0.483556867,0.043865386,-431.4710877,-404.3450003,2.026315789,II
TCGA-BR-8289-01A-11R-2343-13,395.0389019,0.504247749,0.044275858,302.0647774,697.1036793,4.947368421,II
TCGA-VQ-A8P8-01A-11R-A39E-31,1178.732736,0.785542637,0.044730008,147.0458832,1325.77862,2.157894737,II
TCGA-BR-7715-01A-11R-2055-13,72.93626588,0.632841171,0.047005337,317.7846364,390.7209023,2.973684211,II
TCGA-BR-7197-01A-11R-2203-13,-253.5618089,0.120920656,0.047108992,-335.1643229,-588.7261318,3.894736842,II
TCGA-HF-7134-01A-11R-2055-13,730.9851646,1.088706691,0.0471544,-401.5691643,329.4160003,6.342105263,III
TCGA-CD-8531-01A-11R-2343-13,2181.89129,0.50430848,0.047243233,349.7356123,2531.626902,5.157894737,II
TCGA-VQ-A8DZ-01A-11R-A36D-31,392.1798831,0.48494806,0.04809904,-451.5213062,-59.3414231,1.868421053,II
TCGA-VQ-A94U-01A-12R-A414-31,54.13953626,0.444966081,0.050008948,260.9531328,315.0926691,3.447368421,II
TCGA-CG-4477-01A-01R-1157-13,2046.195697,7.570145188,0.052176159,516.2757245,2562.471422,3.657894737,III
TCGA-BR-8295-01A-11R-2343-13,-1051.098295,0.174532745,0.053887636,-1205.920404,-2257.018699,1.052631579,II
TCGA-HU-A4HD-01A-11R-A251-31,149.2153371,0.43264334,0.055126016,-282.4477074,-133.2323703,4.105263158,II
TCGA-IN-7806-01A-11R-2055-13,114.4603755,0.260490985,0.055275434,-798.5440807,-684.0837052,1.736842105,II
TCGA-BR-7957-01A-11R-2203-13,739.4747157,0.664704118,0.055461827,1307.953374,2047.428089,1.184210526,II
TCGA-F1-6875-01A-11R-2055-13,-624.960856,1.598118639,0.056325181,-951.8059609,-1576.766817,2.026315789,III
TCGA-BR-A4PF-01A-11R-A251-31,1542.576875,3.970834514,0.056400176,-172.6024639,1369.974411,2.605263158,III
TCGA-BR-A4J9-01A-12R-A251-31,986.0714414,0.401964508,0.058763827,782.4985951,1768.570037,1.026315789,II
TCGA-CD-5799-01A-11R-1602-13,317.7444824,0.322531481,0.059041556,-157.5172948,160.2271876,0.789473684,II
TCGA-MX-A663-01A-11R-A31P-31,448.7834717,0.614641691,0.059981222,1013.138712,1461.922183,2.026315789,II
TCGA-BR-8382-01A-11R-2402-13,1461.323893,2.901201806,0.060157694,523.8262596,1985.150152,21.47368421,III
TCGA-D7-A4YU-01A-21R-A251-31,2129.404357,3.589341498,0.060730332,507.0910889,2636.495445,4.763157895,III
TCGA-IN-8462-01A-11R-2343-13,721.5173163,0.944208652,0.061065986,104.0262836,825.5435999,2.684210526,II
TCGA-VQ-AA6A-01A-11R-A414-31,-33.31266355,0.242749801,0.061190077,-1058.980821,-1092.293485,2.184210526,II
TCGA-CD-8533-01A-11R-2343-13,-668.3434998,0.241943159,0.061296081,-485.384615,-1153.728115,2.342105263,II
